Semester,Week,Event,Start Date ,End Date
1,1,First Week of Classes,2013-08-26 00:00:00,2013-08-29 18:30:00
1,2,,2013-08-29 18:30:01,2013-09-05 18:30:00
1,3,,2013-09-05 18:30:01,2013-09-12 18:30:00
1,4,,2013-09-12 18:30:01,2013-09-19 18:30:00
1,5,,2013-09-19 18:30:01,2013-09-26 18:30:00
1,6,,2013-09-26 18:30:01,2013-10-03 18:30:00
1,7,,2013-10-03 18:30:01,2013-10-10 18:30:00
1,8,Columbus Day,2013-10-10 18:30:01,2013-10-17 18:30:00
1,9,,2013-10-17 18:30:01,2013-10-24 18:30:00
1,10,Halloween,2013-10-24 18:30:01,2013-10-31 18:30:00
1,11,,2013-10-31 18:30:01,2013-11-07 18:30:00
1,12,Veterans Day,2013-11-07 18:30:01,2013-11-14 18:30:00
1,13,,2013-11-14 18:30:01,2013-11-21 18:30:00
1,14,Thanksgiving,2013-11-21 18:30:01,2013-11-28 18:30:00
1,15,Winter Ball,2013-11-28 18:30:01,2013-12-05 18:30:00
1,16,Last Week of Classes,2013-12-05 18:30:01,2013-12-12 18:30:00
1,17,Finals Week,2013-12-12 18:30:01,2013-12-20 18:30:00
2,1,First Week of Classes,2014-01-27 00:00:00,2014-01-30 18:30:00
2,2,,2014-01-30 18:30:01,2014-02-06 18:30:00
2,3,Valentines Day,2014-02-06 18:30:01,2014-02-13 18:30:00
2,4,Presidents Day,2014-02-13 18:30:01,2014-02-20 18:30:00
2,5,,2014-02-20 18:30:01,2014-02-27 18:30:00
2,6,Derek's Birthday,2014-02-27 18:30:01,2014-03-06 18:30:00
2,7,,2014-03-06 18:30:01,2014-03-13 18:30:00
2,8,,2014-03-13 18:30:01,2014-03-21 18:30:00
2,9,April Fools,2014-04-01 00:00:00,2014-04-01 23:59:59
2,9,,2014-03-31 00:00:00,2014-04-03 18:30:00
2,10,,2014-04-03 18:30:01,2014-04-10 18:30:00
2,11,Passover,2014-04-10 18:30:01,2014-04-17 18:30:00
2,12,Arbor Day,2014-04-17 18:30:01,2014-04-24 18:30:00
2,13,,2014-04-24 18:30:01,2014-05-01 18:30:00
2,14,,2014-05-01 18:30:01,2014-05-08 18:30:00
2,15,Last Week of Classes,2014-05-08 18:30:01,2014-05-15 18:30:00
2,16,Finals Week,2014-05-15 18:30:01,2014-05-22 18:30:00
